Scientific,Common,SpeciesVal 
Cephalanthus occidentalis,buttonbush,5
Cerastium,,2
Cerastium fontanum,Common Mouse-ear Chickweed,4
Cerastium tomentosum,Snow-in-summer,3
Ceratodon purpureus,Redshank,5
Ceratophyllum demersum,coontail,1
Cercidiphyllum,,1
Cercidiphyllum japonicum,katsura tree,1
Cercis,redbuds,5
Cercis canadensis,eastern redbud,6
Chaenomeles,Flowering quinces,2
Chaenomeles japonica,Japanese Quince,2
Chaenorhinum minus,dwarf snapdragon,1
Chaenostoma,Skunkbushes,1
Chamaemelum,chamomiles,1
Chasmanthium,,1
Chasmanthium latifolium,inland sea oats,1
Chelidonium majus,Greater celandine,38
Chelone glabra,white turtlehead,6
Chenopodium,Goosefoots,6
Chenopodium album,Common Lamb's-quarters,21
Chlorophyta,green algae,9
Chlorophytum,Grass Lilies,1
Chlorophytum comosum,Spider plant,1
Chrysanthemum,chrysanthemums,1
Cichorieae,,3
Cichorioideae,chicories, dandelions, and allies,2
Cichorium,chicories and endives,1
Cichorium intybus,chicory,92
Cicuta maculata,water hemlock,5
Cicuta maculata angustifolia,Spotted Water-hemlock,1
Circaea,enchanter's nightshades,3
Circaea canadensis,broadleaf enchanter's nightshade,20
Circaea lutetiana,enchanter's-nightshade,4
Cirsium,thistles,24
Cirsium arvense,creeping thistle,33
Cirsium discolor,field thistle,1
Cirsium vulgare,bull thistle,23
Cladophora,,1
Cladrastis kentukea,yellow-wood,1
Claytonia,spring beauties,1
Claytonia virginica,Virginia spring beauty,7
Clematis,Clematis,2
Clematis jackmanii,,1
Clematis terniflora,autumn clematis,1
Clematis virginiana,virgin's-bower,5
Cleome,Spider flowers,2
Cleome houtteana,Spider flower,2
Clinopodium vulgare,Wild Basil,2
Comandra umbellata,bastard toadflax,1
Commelina,dayflowers,1
Commelina communis,Asiatic dayflower,4
Commelinaceae,spiderworts,1
Conium maculatum,poison hemlock,6
Conocephalum salebrosum,snakewort,2
Conoclinium coelestinum,blue mistflower,1
Consolida,Eurasian Larkspurs,1
Consolida ajacis,Rocket Larkspur,4
Convallaria,lilies of the valley,3
Convallaria majalis,European lily of the valley,19
Convolvulaceae,bindweed family,6
Convolvulus,bindweeds,5
Convolvulus althaeoides,Mallow Bindweed,1
Convolvulus arvensis,field bindweed,23
Coreopsideae,coreopsis and friends,1
Coreopsis,Tickseed,4
Coreopsis lanceolata,Lance-leaved Coreopsis,3
Coreopsis tinctoria,plains coreopsis,1
Coreopsis tripteris,tall coreopsis,2
Coriandrum,,1
Cornaceae,Dogwood family,1
Cornus,dogwoods,30
Cornus alternifolia,alternate-leaved dogwood,19
Cornus amomum,silky dogwood,8
Cornus florida,flowering dogwood,1
Cornus racemosa,gray dogwood,11
Cornus rugosa,Round-leaved Dogwood,10
Cornus sanguinea,common dogwood,1
Cornus sericea,red osier dogwood,46
Corydalis solida,Bird-in-a-bush,2
Corylus americana,American hazelnut,3
Corylus avellana,common hazel,2
Corylus colurna,Turkish Hazel,1
Corylus cornuta,beaked hazelnut,8
Cosmos,,2
Cosmos bipinnatus,garden cosmos,11
Cosmos parviflorus,southwestern cosmos,1
Cotinus,smoketrees,1
Cotinus coggygria,Smokebush,8
Cotoneaster,Cotoneasters,2
Crataegus,hawthorns,27
