Scientific,Common,SpeciesVal 
Vernonia missurica,Missouri Ironweed,2
Veronica,speedwells,2
Veronica americana,American brooklime,1
Veronica anagallis-aquatica,blue water-speedwell,1
Veronica arvensis,corn speedwell,3
Veronica longifolia,Long-leaved Speedwell,2
Veronica officinalis,heath speedwell,2
Veronica persica,bird's-eye speedwell,1
Veronica serpyllifolia,thyme-leaved speedwell,3
Veronica spicata,Spiked Speedwell,1
Veronica umbrosa,,1
Viburnum,viburnums,8
Viburnum acerifolium,mapleleaf viburnum,4
Viburnum dentatum,southern arrowwood,3
Viburnum lantana,Wayfaring-tree,2
Viburnum lentago,nannyberry,7
Viburnum opulus,guelder-rose,15
Viburnum opulus opulus,Guelder-rose,4
Viburnum plicatum,Japanese snowball,2
Viburnum rafinesquianum,downy arrowwood,3
Viburnum tinus,Laurustinus viburnum,1
Vicia,Vetches,9
Vicia cracca,tufted vetch,25
Vicia sativa,Common Vetch,2
Vicia villosa,hairy vetch,3
Vinca,periwinkles,4
Vinca major,greater periwinkle,2
Vinca minor,lesser periwinkle,17
Vincetoxicum,,4
Vincetoxicum nigrum,Black Swallow-wort,1
Vincetoxicum rossicum,European swallow-wort,72
Viola,violets,58
Viola alba,White Violet,1
Viola blanda,sweet white violet,8
Viola canadensis,Canada violet,4
Viola cucullata,marsh blue violet,1
Viola macloskeyi,small white violet,3
Viola odorata,Sweet violet,14
Viola pubescens,downy yellow violet,11
Viola sororia,common blue violet,25
Viola wittrockiana,Garden Pansy,1
Violaceae,violet family,1
Vitaceae,grape family,1
Vitex lucens,Puriri,1
Vitis,grapevines,8
Vitis aestivalis,summer grape,2
Vitis riparia,riverbank grape,26
Vitis vinifera sylvestris,European wild grape,1
Weigela,,2
Wisteria,wisterias,1
Wisteria sinensis,Chinese wisteria,1
Wolffia,watermeals,1
Xanthium,cockleburs,1
Xanthium strumarium,rough cocklebur,17
Yucca filamentosa,common yucca,2
Yucca flaccida,Weak-leaf Yucca,1
Yucca glauca,Great Plains yucca,2
Zanthoxylum,Prickly-ash,1
Zanthoxylum americanum,common pricklyash,2
Zelkova serrata,Japanese zelkova,1
Zinnia elegans,Elegant Zinnia,2
Zizia,,1
Zizia aurea,golden Alexander,5
Zygnemataceae,,1
