Scientific,Common,SpeciesVal 
Galanthus nivalis,common snowdrop,2
Galeopsis,Hempnettle,1
Galium,bedstraws,10
Galium labradoricum,Bog Bedstraw,1
Galium mollugo,Hedge Bedstraw,1
Galium palustre,Common Marsh-bedstraw,3
Galium tinctorium,Stiff Marsh Bedstraw,1
Galium trifidum,three-petal bedstraw,1
Galium triflorum,fragrant bedstraw,3
Gaultheria hispidula,Creeping Snowberry,1
Gaultheria procumbens,Eastern Teaberry,5
Gaylussacia,huckleberries,1
Gaylussacia baccata,black huckleberry,8
Gentiana,Gentians,1
Gentianopsis,fringed gentians,1
Gentianopsis crinita,greater fringed gentian,4
Geranium,geraniums and cranesbills,2
Geranium bicknellii,Northern Cranesbill,6
Geranium carolinianum,Carolina crane's-bill,3
Geranium dissectum,Cut-leaved crane's-bill,1
Geranium pusillum,Small-flowered Crane's-bill,1
Geranium robertianum,herb Robert,8
Geranium sanguineum,Bloody Crane's-bill,1
Geum,avens,2
Geum canadense,white avens,2
Geum fragarioides,barren strawberry,11
Geum rivale,Water Avens,1
Geum triflorum,prairie smoke,58
Geum urbanum,Wood Avens,1
Glechoma hederacea,ground-ivy,4
Gleditsia triacanthos,honey locust,2
Glyceria canadensis,rattlesnake mannagrass,3
Gnaphalium uliginosum,marsh cudweed,1
Goodyera pubescens,downy rattlesnake plantain,1
Grossulariaceae,Gooseberry Family,2
Gymnocarpium dryopteris,northern oak fern,8
Hedwigia ciliata,Hedwig's fringeleaf moss,2
Helenium,sneezeweeds,1
Heliantheae,sunflowers and allies,2
Helianthus,sunflowers,2
Helianthus annuus,common sunflower,1
Helminthotheca echioides,bristly oxtongue,1
Hemerocallis fulva,orange day-lily,2
Hepatica,hepaticas,1
Hepatica acutiloba,sharp-lobed hepatica,10
Hepatica americana,round-lobed hepatica,5
Heptacodium miconioides,Seven Sons Tree,1
Heracleum,hogweeds,1
Heracleum maximum,common cowparsnip,1
Hesperis matronalis,dame's rocket,2
Hieraciinae,,1
Hieracium lachenalii,common hawkweed,1
Hieracium umbellatum,Canada Hawkweed,1
Hordeum jubatum,squirreltail,1
Hosta,hostas,1
Houstonia,flowering bluets,4
Houstonia caerulea,azure bluet,1
Houstonia canadensis,Longleaf Bluets,3
Houstonia longifolia,long-leaved bluets,9
Humulus,Hops,1
Hydrangea arborescens,wild hydrangea,1
Hydrocharis,,1
Hydrocharis morsus-ranae,European Frog-bit,7
Hydrophyllum canadense,Broad-leaf Waterleaf,1
Hydrophyllum virginianum,Virginia waterleaf,5
Hylodesmum glutinosum,pointed-leaved tick-trefoil,4
Hylotelephium telephium,Orpine,1
Hypericum,St. John's worts,5
Hypericum boreale,Northern St. John's-wort,1
Hypericum fraseri,Fraser's marsh St. John's-wort,5
Hypericum perforatum,common St. John's-wort,18
Hypericum virginicum,Virginia marsh St. John's-wort,3
Hypnales,,1
Ilex verticillata,winterberry holly,7
Impatiens,jewelweeds,1
Impatiens capensis,common jewelweed,13
Inula helenium,Elecampane,6
Iris,Irises,2
Iris pseudacorus,Yellow Iris,4
Iris versicolor,northern blue flag,21
Juglandaceae,walnut family,1
Juglans,Walnuts,2
Juglans ailantifolia,Japanese walnut,1
Juglans cinerea,Butternut,27
Juglans nigra,eastern black walnut,5
Juncus,rushes,1
Juncus articulatus,Jointed rush,1
Juncus canadensis,Canada Rush,1
Juncus compressus,Flattened Rush,2
Juncus tenuis,Slender Path Rush,1
Juniperus,junipers,1
Juniperus communis,common juniper,14
Juniperus communis depressa,American common juniper,7
Juniperus virginiana,eastern redcedar,6
Kalmia angustifolia,sheep laurel,5
Lactuca,lettuces,1
Lactuca serriola,prickly lettuce,4
Laportea canadensis,Canadian wood nettle,1
Larix decidua,European larch,4
Larix laricina,tamarack,8
Lathyrus,sweet peas and vetchlings,2
Lathyrus latifolius,broad-leaved sweet pea,2
Lathyrus palustris,marsh pea,1
Lechea intermedia,narrowleaf pinweed,1
Lemna,Duckweeds,1
Lemna minor,common duckweed,2
Leonurus cardiaca,common motherwort,8
Lepidium,peppergrasses,1
Lepidium campestre,field peppergrass,2
Lepidium densiflorum,Common Peppergrass,1
Lepidium nitidum,Shining Pepperweed,1
Lespedeza capitata,round-headed bush clover,2
Leucanthemum,,1
Leucanthemum vulgare,oxeye daisy,13
Leucobryum glaucum,pincushion moss,1
Liliopsida,monocots,3
Lilium philadelphicum,Wood Lily,4
Linaria vulgaris,common toadflax,16
Linnaea borealis,twinflower,4
Liquidambar styraciflua,American sweetgum,1
Liriodendron tulipifera,tulip tree,1
Lithospermeae,,1
Lithospermum officinale,Common Gromwell,1
Lobatae,red oaks,2
Lobelia cardinalis,cardinal flower,4
Lobelia inflata,Indian tobacco,5
Lobelia kalmii,Kalm's Lobelia,4
Lobelia siphilitica,great blue lobelia,6
Lobelia spicata,pale-spiked lobelia,1
Lonicera,honeysuckles,22
Lonicera × bella,Bell's Honeysuckle,4
Lonicera canadensis,American fly-honeysuckle,5
Lonicera dioica,Glaucous Honeysuckle,9
Lonicera morrowii,Morrow's honeysuckle,2
Lonicera oblongifolia,swamp fly honeysuckle,5
Lonicera sempervirens,coral honeysuckle,1
Lonicera tatarica,Tatarian honeysuckle,10
Lonicera xylosteum,Fly Honeysuckle,1
Lotus,bird's-foot-trefoils,3
Lotus corniculatus,bird's-foot trefoil,12
Lupinus,lupines,1
Lycopodiaceae,clubmosses,1
Lycopodium clavatum,stag's-horn clubmoss,2
Lycopus,water horehounds,3
Lycopus americanus,American bugleweed,1
Lycopus europaeus,Gypsywort,2
Lycopus uniflorus,northern bugleweed,7
Lysimachia,Loosestrifes,2
Lysimachia borealis,starflower,6
Lysimachia ciliata,fringed loosestrife,6
Lysimachia nummularia,creeping Jenny,3
Lysimachia punctata,Dotted Loosestrife,1
Lysimachia terrestris,swamp candles,8
Lysimachia thyrsiflora,Tufted Loosestrife,5
Lythrum,lythrums,1
Lythrum salicaria,purple loosestrife,16
Magnolia acuminata,Cucumber-tree,1
Magnoliopsida,dicots,12
Maianthemum canadense,Canada mayflower,12
Maianthemum racemosum,false Solomon's seal,7
Maianthemum stellatum,star-flowered lily-of-the-valley,17
Maianthemum trifolium,three-leaved false Solomon’s seal,2
Maleae,,1
Malus,apples,1
Malus fusca,Pacific Crab Apple,1
Malus pumila,apple,2
Marchantia polymorpha,common liverwort,2
Marrubium vulgare,white horehound,1
Matricaria discoidea,pineapple-weed,1
Matteuccia struthiopteris,ostrich fern,5
Medeola virginiana,Indian Cucumber Root,2
Medicago lupulina,black medick,8
Medicago sativa,alfalfa,7
Melampyrum lineare,narrowleaf cow wheat,1
Melia azedarach,Chinaberry,1
Melilotus,melilots and sweetclovers,2
Melilotus albus,white sweetclover,9
Melilotus officinalis,yellow sweetclover,3
Mentha,mints,1
Mentha × piperita,Peppermint,1
Mentha arvensis,corn mint,1
Mentha canadensis,American cornmint,5
Mentha spicata,spearmint,2
Mentheae,,1
Menyanthes trifoliata,Bogbean,4
Micranthes virginiensis,Virginia saxifrage,18
Mimulus ringens,Allegheny monkeyflower,1
Minuartia,Sandwort,1
Mitchella repens,partridgeberry,13
Mitella nuda,naked bishop's cap,2
Monarda,beebalms and bergamots,2
Monarda fistulosa,wild bergamot,14
Monotropa uniflora,Indian pipe,2
Muhlenbergia glomerata,Marsh Muhly,2
Mycelis muralis,Wall Lettuce,2
Myosotis,Forget-me-nots,6
Myosotis scorpioides,water forget-me-not,3
Myosotis sylvatica,Wood Forget-me-not,1
Myrica gale,bog myrtle,6
Myriophyllum,Milfoils,4
Myriophyllum spicatum,Eurasian water-milfoil,2
Nabalus,rattlesnakeroots,1
Nabalus albus,white rattlesnakeroot,3
Nabalus altissimus,tall rattlesnakeroot,1
Najas,naiads,3
Narcissus,daffodils,1
Nasturtium officinale,watercress,2
Neckera pennata,shingle moss,2
Nepeta cataria,Catnip,2
Nuphar,yellow pond-lilies,4
Nuphar variegata,variegated pond-lily,9
Nymphaea,water-lilies,4
Nymphaea odorata,American white waterlily,12
Nymphaeales,water-lilies, fanworts, and allies,1
Odontites vernus,Red Bartsia,2
Oenothera,evening primroses, sundrops, and beeblossoms,2
Oenothera biennis,common evening-primrose,6
Oenothera parviflora,northern evening-primrose,2
Oenothera pilosella,meadow evening primrose,1
Onoclea sensibilis,sensitive fern,26
Origanum,,1
Origanum vulgare,Oregano,3
Orthilia secunda,one-sided wintergreen,2
Orthotrichaceae,,3
Oryzopsis asperifolia,White-grained Mountain-ricegrass,1
Osmorhiza,sweet cicely,1
Osmorhiza claytonii,hairy sweet cicely,2
Osmunda regalis,royal fern,6
Osmunda regalis spectabilis,American royal fern,3
Osmundastrum cinnamomeum,cinnamon fern,4
Ostrya virginiana,American hophornbeam,8
Othocallis siberica,Siberian squill,2
Ovales,Carex sect. Ovales,1
Oxalis,woodsorrels,1
Oxalis dillenii,slender yellow woodsorrel,1
Oxalis stricta,upright yellow woodsorrel,5
Packera,,1
Packera aurea,golden ragwort,1
Packera paupercula,balsam ragwort,14
Panicum,panicgrasses,1
Panicum capillare,witch grass,1
Papaver,poppies,1
Papaver rhoeas,common poppy,1
Parathelypteris noveboracensis,New York fern,1
